neighbourhood_id,neighbourhood_name,oceania_origins,asian_origins,north_american_aboriginal_origins,other_north_american_origins,latin_origins,european_origins,african_origins,caribbean_origins
129,Agincourt North,10,24305,40,1345,470,3055,535,1445
128,Agincourt South-Malvern West,0,17955,105,1190,480,3770,625,1395
20,Alderwood,0,2055,305,2355,315,9135,215,350
95,Annex,140,6485,475,5255,765,21055,1040,750
42,Banbury-Don Mills,20,12025,230,3230,585,13435,990,815
34,Bathurst Manor,0,5190,90,1630,670,9370,600,440
76,Bay Street Corridor,60,15040,250,2445,720,9360,1135,510
52,Bayview Village,45,13845,110,1450,585,6645,640,570
49,Bayview Woods-Steeles,15,7920,110,920,300,4255,415,510
39,Bedford Park-Nortown,50,5210,100,4940,520,16150,625,330
112,Beechborough-Greenbrook,0,1345,85,620,385,2780,730,1400
127,Bendale,25,17890,300,2915,1020,8285,1100,1680
122,Birchcliffe-Cliffside,95,4590,625,5365,440,14840,545,840
24,Black Creek,0,9055,220,1840,2100,4240,3320,3445
69,Blake-Jones,25,2020,345,1700,180,4505,645,475
108,Briar Hill-Belgravia,10,4645,135,1180,1185,7755,565,980
41,Bridle Path-Sunnybrook-York Mills,60,3005,40,1615,150,5965,235,110
57,Broadview North,15,2500,180,1570,450,8025,345,420
30,Brookhaven-Amesbury,25,4730,135,1555,2025,6690,2440,3045
109,Caledonia-Fairbank,0,1805,65,965,960,6565,330,710
96,Casa Loma,25,1480,180,2290,325,8790,340,245
133,Centennial Scarborough,15,4750,250,2435,365,7495,520,970
75,Church-Yonge Corridor,125,10740,635,4525,1150,17270,1535,940
120,Clairlea-Birchmount,45,12705,445,4205,675,9420,1585,1545
33,Clanton Park,55,6005,115,2185,470,9220,850,460
123,Cliffcrest,40,5305,415,3175,510,8850,460,945
92,Corso Italia-Davenport,40,1820,240,1810,1315,10930,385,625
66,Danforth,90,2235,260,2090,170,6955,270,265
59,Danforth East York,50,4245,420,3230,485,12095,435,545
47,Don Valley Village,10,17955,105,1575,720,7425,1000,1005
126,Dorset Park,0,15965,285,2600,695,5445,1060,1830
93,Dovercourt-Wallace Emerson-Junction,140,8760,650,5070,2205,24280,1440,1600
26,Downsview-Roding-CFB,0,11365,395,2640,3955,15615,2120,3830
83,Dufferin Grove,30,2595,235,1870,650,8225,475,500
62,East End-Danforth,90,5205,610,4565,645,14325,845,960
9,Edenbridge-Humber Valley,30,1885,185,2025,825,11825,535,525
138,Eglinton East,60,11815,325,2700,945,5100,1980,2875
5,Elms-Old Rexdale,0,2485,85,1175,1000,3270,2025,1275
32,Englemount-Lawrence,10,6685,110,3195,840,12475,1645,1315
11,Eringate-Centennial-West Deane,10,3815,265,2835,715,13055,760,600
13,Etobicoke West Mall,10,3560,120,1240,455,6720,460,600
44,Flemingdon Park,25,14665,100,1345,545,4695,2055,880
102,Forest Hill North,45,3270,125,1900,460,8720,510,435
101,Forest Hill South,15,1880,115,2160,205,8240,280,250
25,Glenfield-Jane Heights,20,11120,155,1930,4025,8395,3425,4815
65,Greenwood-Coxwell,60,4490,365,3200,500,8520,640,630
140,Guildwood,25,2285,140,1905,295,6635,225,605
53,Henry Farm,20,10975,130,890,570,3565,835,605
88,High Park North,75,4140,455,3630,915,16455,665,505
87,High Park-Swansea,75,3400,450,4160,790,19030,660,705
134,Highland Creek,10,7175,75,1180,640,3470,515,1540
48,Hillcrest Village,35,12030,30,925,320,4135,400,435
8,Humber Heights-Westmount,20,1145,75,925,600,7520,870,525
21,Humber Summit,0,5250,20,995,1005,4370,760,1320
22,Humbermede,10,6405,90,1320,2020,3950,1700,2065
106,Humewood-Cedarvale,55,3020,240,2715,740,9810,650,645
125,Ionview,10,7790,200,1385,510,3735,980,1135
14,Islington-City Centre West,60,11785,465,4920,1835,26915,2385,1595
90,Junction Area,45,3255,375,2415,765,10080,405,400
110,Keelesdale-Eglinton West,10,2545,140,800,1095,6615,405,960
124,Kennedy Park,0,9150,365,2120,585,5160,1355,1415
78,Kensington-Chinatown,55,9140,265,2235,475,6820,745,695
6,Kingsview Village-The Westway,40,6575,145,1820,1200,8985,4315,1780
15,Kingsway South,10,1085,95,2090,120,7650,120,85
114,Lambton Baby Point,45,980,195,1355,350,6115,470,565
117,L'Amoreaux,40,30785,195,2880,790,8490,1990,2635
38,Lansing-Westgate,50,6815,100,2030,395,8510,555,355
105,Lawrence Park North,60,3325,105,3650,250,10935,335,260
103,Lawrence Park South,180,2510,195,3825,245,11740,305,295
56,Leaside-Bennington,140,2740,305,4045,390,13150,270,290
84,Little Portugal,70,3275,420,2590,610,10835,640,420
19,Long Branch,20,1595,280,2270,365,7370,265,510
132,Malvern,55,28455,335,3785,2115,6350,3035,6985
29,Maple Leaf,10,2915,15,595,730,5500,255,685
12,Markland Wood,20,1220,85,1615,250,8760,110,235
130,Milliken,0,23750,30,1010,270,1355,310,950
135,Morningside,50,9160,205,2355,665,4775,1255,2280
73,Moss Park,60,4920,435,3260,670,10135,2120,945
115,Mount Dennis,20,3105,180,1490,1590,4760,1955,2605
2,Mount Olive-Silverstone-Jamestown,10,18675,185,2270,1735,3955,4975,4335
99,Mount Pleasant East,55,3525,320,3665,525,12560,490,435
104,Mount Pleasant West,95,8225,405,4610,1335,18685,1250,910
18,New Toronto,45,2160,330,2275,430,7315,820,930
50,Newtonbrook East,0,11295,50,855,165,4005,180,160
36,Newtonbrook West,15,14075,70,1270,510,9190,415,490
82,Niagara,155,8255,500,5255,1550,19725,1590,1365
68,North Riverdale,90,2535,225,2475,300,8695,225,390
121,Oakridge,25,7305,290,1660,370,3145,1820,925
107,Oakwood Village,80,5020,300,2695,1585,12695,1375,2155
54,O'Connor-Parkview,35,4910,630,3545,625,11280,885,1300
58,Old East York,15,2085,190,1720,245,6665,130,395
80,Palmerston-Little Italy,70,2505,360,2680,540,10720,315,335
45,Parkwoods-Donalda,65,14610,590,4525,1580,15140,2600,2710
23,Pelmo Park-Humberlea,10,2640,105,1090,860,5965,500,855
67,Playter Estates-Danforth,15,1280,145,1530,170,6190,190,165
46,Pleasant View,30,9515,85,1100,310,5460,550,570
10,Princess-Rosethorn,55,1950,80,1730,290,8565,205,165
72,Regent Park,25,5585,240,1450,415,3015,1275,505
4,Rexdale-Kipling,10,2925,105,1310,830,5115,790,1125
111,Rockcliffe-Smythe,10,4510,400,2220,2635,12080,1870,2150
86,Roncesvalles,100,2870,330,2975,505,10930,535,585
98,Rosedale-Moore Park,75,3485,270,4475,515,16140,580,355
131,Rouge,50,28705,285,4885,1700,10040,2270,6280
89,Runnymede-Bloor West Village,40,1350,210,2040,285,8370,190,185
28,Rustic,0,1575,55,745,785,4230,2160,1545
139,Scarborough Village,0,8120,330,1925,665,4575,1375,2285
85,South Parkdale,65,7325,655,2935,980,10710,1485,1305
70,South Riverdale,150,9575,830,5445,640,15485,890,1020
40,St.Andrew-Windfields,25,8615,105,1800,500,8035,590,465
116,Steeles,0,21160,30,880,90,2285,615,460
16,Stonegate-Queensway,85,3845,355,4295,670,19560,460,655
118,Tam O'Shanter-Sullivan,35,17925,225,2180,670,6655,1110,1580
61,Taylor-Massey,10,8435,235,1960,460,4975,1185,820
63,The Beaches,125,2680,565,5405,495,18205,410,510
3,Thistletown-Beaumond Heights,0,4435,65,880,795,3440,920,855
55,Thorncliffe Park,10,15040,130,1340,385,4065,1180,535
81,Trinity-Bellwoods,85,4495,255,2530,440,11205,250,320
79,University,15,2015,135,1100,230,4395,210,155
43,Victoria Village,0,7765,355,1955,660,6865,1410,1380
77,Waterfront Communities-The Island,235,24810,965,9470,2325,36195,3435,2625
136,West Hill,10,10040,755,4050,1640,10245,2595,4375
1,West Humber-Clairville,20,18060,155,2450,2240,6725,3180,4390
35,Westminster-Branson,10,11680,110,1685,615,13470,810,805
113,Weston,20,3120,230,1940,1450,7575,3285,3550
119,Wexford/Maryvale,40,12930,270,3830,960,11355,1130,1615
51,Willowdale East,55,36920,205,2500,1090,11950,1545,860
37,Willowdale West,0,9770,105,1330,340,6625,280,215
7,Willowridge-Martingrove-Richview,25,4810,130,2190,1150,13460,1910,1415
137,Woburn,80,32850,605,5385,1745,12855,2470,4665
64,Woodbine Corridor,75,2535,425,3340,330,8855,530,585
60,Woodbine-Lumsden,20,1735,270,1590,245,5275,245,460
94,Wychwood,90,2500,335,2010,645,9685,610,740
100,Yonge-Eglinton,50,2895,140,2695,370,8455,310,280
97,Yonge-St.Clair,80,2330,215,2525,300,9460,370,295
27,York University Heights,20,12550,220,2045,2055,8735,2450,3345
31,Yorkdale-Glen Park,10,4090,105,1040,1025,7820,820,935
