neighbourhood_id,neighbourhood_name,median_income,average_income
1,West Humber-Clairville,66241.0,76228.0
2,Mount Olive-Silverstone-Jamestown,49934.0,58605.0
3,Thistletown-Beaumond Heights,62042.0,73512.0
4,Rexdale-Kipling,56545.0,66781.0
5,Elms-Old Rexdale,50846.0,63201.0
6,Kingsview Village-The Westway,55454.0,71539.0
7,Willowridge-Martingrove-Richview,63701.0,81035.0
8,Humber Heights-Westmount,60410.0,81291.0
9,Edenbridge-Humber Valley,71646.0,126895.0
10,Princess-Rosethorn,114844.0,174858.0
11,Eringate-Centennial-West Deane,80894.0,94644.0
12,Markland Wood,74376.0,102729.0
13,Etobicoke West Mall,56010.0,68531.0
14,Islington-City Centre West,66537.0,89289.0
15,Kingsway South,131047.0,226607.0
16,Stonegate-Queensway,78238.0,104117.0
17,Mimico,64589.0,86002.0
18,New Toronto,44141.0,61562.0
19,Long Branch,52771.0,73058.0
20,Alderwood,71585.0,85206.0
21,Humber Summit,57786.0,68431.0
22,Humbermede,51959.0,61290.0
23,Pelmo Park-Humberlea,67412.0,79193.0
24,Black Creek,41878.0,51384.0
25,Glenfield-Jane Heights,46475.0,57069.0
26,Downsview-Roding-CFB,47173.0,60018.0
27,York University Heights,45534.0,55531.0
28,Rustic,43976.0,56844.0
29,Maple Leaf,57721.0,73197.0
30,Brookhaven-Amesbury,47040.0,59896.0
31,Yorkdale-Glen Park,54093.0,72429.0
32,Englemount-Lawrence,49762.0,82845.0
33,Clanton Park,61094.0,92945.0
34,Bathurst Manor,56563.0,76823.0
35,Westminster-Branson,45888.0,63719.0
36,Newtonbrook West,50150.0,70153.0
37,Willowdale West,60537.0,82203.0
38,Lansing-Westgate,70571.0,111214.0
39,Bedford Park-Nortown,90934.0,176139.0
40,St.Andrew-Windfields,94271.0,189629.0
41,Bridle Path-Sunnybrook-York Mills,208674.0,481497.0
42,Banbury-Don Mills,70039.0,115944.0
43,Victoria Village,47529.0,60141.0
44,Flemingdon Park,46554.0,56784.0
45,Parkwoods-Donalda,59027.0,79219.0
46,Pleasant View,65197.0,75839.0
47,Don Valley Village,56780.0,72457.0
48,Hillcrest Village,64522.0,84085.0
49,Bayview Woods-Steeles,70294.0,99835.0
