neighbourhood_id,neighbourhood_name,number_of_restaurants
76,bay street corridor,355
77,waterfront communities-the island,354
78,kensington-chinatown,280
75,church-yonge corridor,214
95,annex,180
81,trinity-bellwoods,136
14,islington-city centre west,120
70,south riverdale,106
130,milliken,97
80,palmerston-little italy,91
128,agincourt south-malvern west,90
27,york university heights,86
51,willowdale east,83
82,niagara,81
79,university,77
90,junction area,76
104,mount pleasant west,74
119,wexford/maryvale,73
86,roncesvalles,68
31,yorkdale-glen park,65
93,dovercourt-wallace emerson-junction,65
73,moss park,63
16,stonegate-queensway,60
84,little portugal,57
63,the beaches,56
42,banbury-don mills,54
68,north riverdale,54
94,wychwood,51
66,danforth,50
127,bendale,49
65,greenwood-coxwell,47
1,west humber-clairville,47
118,tam o'shanter-sullivan,45
99,mount pleasant east,44
62,east end-danforth,44
126,dorset park,43
137,woburn,42
92,corso italia-davenport,42
120,clairlea-birchmount,41
85,south parkdale,40
26,downsview-roding-cfb,39
39,bedford park-nortown,37
83,dufferin grove,36
98,rosedale-moore park,36
87,high park-swansea,36
36,newtonbrook west,35
37,willowdale west,33
105,lawrence park north,32
55,thorncliffe park,31
38,lansing-westgate,30
17,mimico,30
117,l'amoreaux,30
71,cabbagetown-south st.james town,30
97,yonge-st.clair,29
89,runnymede-bloor west village,28
100,yonge-eglinton,27
18,new toronto,27
67,playter estates-danforth,27
129,agincourt north,26
19,long branch,26
48,hillcrest village,24
88,high park north,23
116,steeles,22
30,brookhaven-amesbury,21
56,leaside-bennington,21
47,don valley village,21
33,clanton park,20
15,kingsway south,19
122,birchcliffe-cliffside,19
40,st.andrew-windfields,19
43,victoria village,18
58,old east york,18
113,weston,16
138,eglinton east,15
34,bathurst manor,15
103,lawrence park south,15
107,oakwood village,15
21,humber summit,15
72,regent park,14
123,cliffcrest,14
45,parkwoods-donalda,13
25,glenfield-jane heights,13
131,rouge,13
52,bayview village,13
69,blake-jones,13
74,north st.james town,13
57,broadview north,13
102,forest hill north,13
108,briar hill-belgravia,13
20,alderwood,13
11,eringate-centennial-west deane,13
110,keelesdale-eglinton west,12
22,humbermede,12
46,pleasant view,12
64,woodbine corridor,12
50,newtonbrook east,12
54,o'connor-parkview,12
132,malvern,11
3,thistletown-beaumond heights,11
4,rexdale-kipling,10
59,danforth east york,10
139,scarborough village,9
44,flemingdon park,9
115,mount dennis,9
49,bayview woods-steeles,9
7,willowridge-martingrove-richview,9
106,humewood-cedarvale,8
91,weston-pellam park,8
32,englemount-lawrence,8
96,casa loma,8
53,henry farm,8
111,rockcliffe-smythe,7
121,oakridge,7
124,kennedy park,6
9,edenbridge-humber valley,6
125,ionview,6
61,taylor-massey,6
23,pelmo park-humberlea,6
24,black creek,6
101,forest hill south,6
35,westminster-branson,5
136,west hill,5
60,woodbine-lumsden,4
41,bridle path-sunnybrook-york mills,4
114,lambton baby point,4
2,mount olive-silverstone-jamestown,4
12,markland wood,4
109,caledonia-fairbank,3
135,morningside,3
28,rustic,3
6,kingsview village-the westway,3
5,elms-old rexdale,2
112,beechborough-greenbrook,2
8,humber heights-westmount,2
13,etobicoke west mall,2
140,guildwood,2
10,princess-rosethorn,1
