,id,name,category,ratings,review_counts,zip_code
0,e41TP5cXZqSrz50xCBJqZw,Insomnia Restaurant & Lounge,Lounges,4.0,923,M5S 1Y6
1,r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,Thai,4.5,2895,M5H 3G8
2,Uq-GOs9_IqweUsB5MdII9w,Emma's Country Kitchen,Breakfast & Brunch,4.0,394,M6C 1B6
3,iGEvDk6hsizigmXhDKs2Vg,Seven Lives Tacos y Mariscos,Mexican,4.5,1323,M5T 2K1
4,-ICGmF2qUVKdvOehVNgPbg,Lamesa Filipino Kitchen,Filipino,4.0,352,M6C 1A9
5,nHFJtud7jWZhM9dHQ1eIRA,Buk Chang Dong Soon Tofu,Korean,4.0,450,M6G 1L3
6,crstB-H5rOfbXhV8pX0e6g,Ramen Isshin,Ramen,4.5,705,M5T 1T1
7,uAAWlLdsoUf872F1FKiX1A,Bang Bang Ice Cream and Bakery,Desserts,4.0,1015,M6J 2Z2
8,q9_gLvTNf11etVxbH7JY0Q,Yasu,Japanese,4.5,364,M5S 1G4
9,RtUvSWO_UZ8V3Wpj0n077w,KINKA IZAKAYA ORIGINAL,Japanese,4.0,1628,M5B 2A2
10,cj_9eTPR0JBqk9qt2VmzFw,Hodo Kwaja,Bakeries,4.5,222,M6G 1K9
11,N93EYZy9R0sdlEvubu94ig,Banh Mi Boys,Vietnamese,4.5,1117,M5V 2A9
12,_T7f2wUgNlJqxsR-cR89SQ,Scaramouche Restaurant Pasta Bar & Grill,French,4.5,294,M4V 2L1
13,ovnqQaQ8BsPgDoJ4nlYBUw,Bakerbots Baking,Desserts,4.0,288,M6H 2T4
14,-ltD-dHqdZ5-wjAMKYa6Ng,La Bella Managua,Latin American,4.5,226,M6G 1M5
15,Yl2TN9c23ZGLUBSD9ks5Uw,Byblos,Mediterranean,4.5,797,M5V 3M2
16,ym4zQit5BHrOk53lk8dFJg,Bar Ape,Ice Cream & Frozen Yogurt,4.5,77,M6C 2X6
17,rvHGv9Q7r5QkIYrCZlfoAQ,Pukka,Indian,4.0,162,M6C 1B6
18,bRntmjztJ4dFDA_LYiEECw,Snakes & Lattes Annex,Bars,4.0,333,M6G 1K4
19,mZRKH9ngRY92bI_irrHq6w,Richmond Station,Canadian (New),4.5,773,M5H 3W4
20,oZP0Ynj-yHUxJUmY7-HaUA,Rustle & Still Café,Coffee & Tea,4.5,113,M6G 1K6
